# cpu=11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
# kernel=Linux 6.6.87.2-microsoft-standard-WSL2
# compiler=gcc (Ubuntu 11.4.0-1ubuntu1~22.04.3) 11.4.0
# date=2026-08-25T08:41:09Z
# git_sha=8a43db6
# profile=hardened
# preload=libmars_preload.so
# reps=11 programs=9
# note=wall time of whole processes; see tools/preload_bench.py
# heap_checks_passed=11 heap_checks_failed=0
program,allocator,rep,wall_ns,max_rss_kb,exit_code
git_status,mars,9,211824569,12416,0
git_log_stat,glibc,9,4978898440,12416,0
git_log_stat,mars,9,5245400865,12416,0
grep_recursive,glibc,9,52458901,12416,0
grep_recursive,mars,9,46018281,12416,0
python_sum,glibc,9,21386962,12416,0
python_sum,mars,9,27773713,12416,0
python_dict,glibc,9,124515991,47184,0
python_dict,mars,9,99574059,48180,0
gcc_compile,glibc,9,182609864,26864,0
gcc_compile,mars,9,225109111,26880,0
calloc_4mb_x200,glibc,9,31176049,12416,0
calloc_4mb_x200,mars,9,10035468,12416,0
calloc_4mb_x200,mars_nofresh,9,273578590,12416,0
calloc_4kb_x200000,glibc,9,13419678,12416,0
calloc_4kb_x200000,mars,9,67735048,12416,0
calloc_4kb_x200000,mars_nofresh,9,71021364,12416,0
ls_recursive,glibc,10,22506426,12416,0
ls_recursive,mars,10,31938710,12416,0
git_status,glibc,10,451720237,12416,0
git_status,mars,10,164743754,12416,0
git_log_stat,glibc,10,3712648560,12416,0
git_log_stat,mars,10,3688092620,12416,0
grep_recursive,glibc,10,43428628,12416,0
grep_recursive,mars,10,76588775,12416,0
python_sum,glibc,10,33522293,12416,0
python_sum,mars,10,36431025,12416,0
python_dict,glibc,10,106479073,47336,0
python_dict,mars,10,89165765,48180,0
gcc_compile,glibc,10,180928972,27008,0
gcc_compile,mars,10,228930334,26880,0
calloc_4mb_x200,glibc,10,28494588,12416,0
calloc_4mb_x200,mars,10,9777522,12416,0
calloc_4mb_x200,mars_nofresh,10,262243572,12416,0
calloc_4kb_x200000,glibc,10,12481967,12416,0
calloc_4kb_x200000,mars,10,70454110,12416,0
calloc_4kb_x200000,mars_nofresh,10,69149174,12416,0
ls_recursive,glibc,11,24176258,12416,0
ls_recursive,mars,11,31719472,12416,0
git_status,glibc,11,170890725,12416,0
git_status,mars,11,166533556,12416,0
git_log_stat,glibc,11,3589081577,12416,0
git_log_stat,mars,11,3444244140,12416,0
grep_recursive,glibc,11,43295126,12416,0
grep_recursive,mars,11,49410316,12416,0
python_sum,glibc,11,20271615,12416,0
python_sum,mars,11,28630840,12416,0
python_dict,glibc,11,113751884,47336,0
python_dict,mars,11,106835413,48312,0
gcc_compile,glibc,11,226309986,26968,0
gcc_compile,mars,11,250992189,26880,0
calloc_4mb_x200,glibc,11,31227955,12416,0
calloc_4mb_x200,mars,11,10608327,12416,0
calloc_4mb_x200,mars_nofresh,11,283231473,12416,0
calloc_4kb_x200000,glibc,11,12815024,12416,0
calloc_4kb_x200000,mars,11,73360520,12416,0
calloc_4kb_x200000,mars_nofresh,11,66508723,12416,0
