# cpu=11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
# kernel=Linux 6.6.87.2-microsoft-standard-WSL2
# compiler=gcc 11.4.0
# date=2026-08-24T20:00:09Z
# git_sha=971fd2e
# profile=paranoid metadata_bytes=40
# trials_per_cell=2000 base_seed=20260809 arena_bytes=262144
# latency_window_ops=4096
profile,scrub_interval,scrub_budget,target,bits,trials,discarded,detected_no_loss,detected_quarantined,detected_fatal,undetected_benign,undetected_silent,crash,timeout,detection_pct,detection_lo,detection_hi,silent_pct,silent_lo,silent_hi,latency_n,latency_mean_ops,latency_max_ops
paranoid,4096,16,free_hdr,2,2000,0,243,1736,0,21,0,0,0,100.0000,99.8063,100.0000,0.0000,0.0000,0.1917,1979,10.7933,330
paranoid,4096,16,links,1,2000,0,1959,0,0,41,0,0,0,100.0000,99.8043,100.0000,0.0000,0.0000,0.1917,1959,14.4742,1162
paranoid,4096,16,links,2,2000,0,1958,0,0,42,0,0,0,100.0000,99.8042,100.0000,0.0000,0.0000,0.1917,1958,14.9198,1631
paranoid,4096,16,free_footer,1,2000,0,0,0,0,2000,0,0,0,100.0000,0.0000,79.3451,0.0000,0.0000,0.1917,0,0.0000,0
paranoid,4096,16,free_footer,2,2000,0,2,0,0,1998,0,0,0,100.0000,34.2380,100.0000,0.0000,0.0000,0.1917,0,0.0000,0
paranoid,4096,16,payload,1,2000,0,0,2000,0,0,0,0,0,100.0000,99.8083,100.0000,0.0000,0.0000,0.1917,1294,4095.0000,4095
paranoid,4096,16,payload,2,2000,0,0,1995,0,5,0,0,0,100.0000,99.8078,100.0000,0.0000,0.0000,0.1917,1320,4095.0000,4095
paranoid,4096,16,canary,1,2000,0,0,2000,0,0,0,0,0,100.0000,99.8083,100.0000,0.0000,0.0000,0.1917,1371,4095.0000,4095
paranoid,4096,16,canary,2,2000,0,0,1957,0,43,0,0,0,100.0000,99.8041,100.0000,0.0000,0.0000,0.1917,1287,4095.0000,4095
paranoid,4096,16,any,1,2000,0,2,18,0,1980,0,0,0,100.0000,83.8875,100.0000,0.0000,0.0000,0.1917,18,3640.7778,4095
paranoid,4096,16,any,2,2000,0,9,30,0,1961,0,0,0,100.0000,91.0333,100.0000,0.0000,0.0000,0.1917,28,2780.7857,4095
paranoid,0,16,alloc_hdr,1,2000,0,2000,0,0,0,0,0,0,100.0000,99.8083,100.0000,0.0000,0.0000,0.1917,910,23.7484,1252
paranoid,0,16,alloc_hdr,2,2000,0,1982,0,0,18,0,0,0,100.0000,99.8066,100.0000,0.0000,0.0000,0.1917,844,23.8566,1923
paranoid,0,16,free_hdr,1,2000,0,267,1733,0,0,0,0,0,100.0000,99.8083,100.0000,0.0000,0.0000,0.1917,2000,10.7920,469
paranoid,0,16,free_hdr,2,2000,0,243,1736,0,21,0,0,0,100.0000,99.8063,100.0000,0.0000,0.0000,0.1917,1979,10.7933,330
paranoid,0,16,links,1,2000,0,1959,0,0,41,0,0,0,100.0000,99.8043,100.0000,0.0000,0.0000,0.1917,1959,14.4742,1162
paranoid,0,16,links,2,2000,0,1958,0,0,42,0,0,0,100.0000,99.8042,100.0000,0.0000,0.0000,0.1917,1958,14.9198,1631
paranoid,0,16,free_footer,1,2000,0,0,0,0,2000,0,0,0,100.0000,0.0000,79.3451,0.0000,0.0000,0.1917,0,0.0000,0
paranoid,0,16,free_footer,2,2000,0,2,0,0,1998,0,0,0,100.0000,34.2380,100.0000,0.0000,0.0000,0.1917,0,0.0000,0
paranoid,0,16,payload,1,2000,0,0,2000,0,0,0,0,0,100.0000,99.8083,100.0000,0.0000,0.0000,0.1917,0,0.0000,0
paranoid,0,16,payload,2,2000,0,0,1995,0,5,0,0,0,100.0000,99.8078,100.0000,0.0000,0.0000,0.1917,0,0.0000,0
paranoid,0,16,canary,1,2000,0,0,2000,0,0,0,0,0,100.0000,99.8083,100.0000,0.0000,0.0000,0.1917,0,0.0000,0
paranoid,0,16,canary,2,2000,0,0,1957,0,43,0,0,0,100.0000,99.8041,100.0000,0.0000,0.0000,0.1917,0,0.0000,0
paranoid,0,16,any,1,2000,0,2,18,0,1980,0,0,0,100.0000,83.8875,100.0000,0.0000,0.0000,0.1917,2,7.0000,12
paranoid,0,16,any,2,2000,0,9,30,0,1961,0,0,0,100.0000,91.0333,100.0000,0.0000,0.0000,0.1917,9,6.3333,18
