# cpu=11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
# kernel=Linux 6.6.87.2-microsoft-standard-WSL2
# compiler=gcc 11.4.0
# date=2026-08-25T08:34:25Z
# git_sha=8a43db6
# tsc_usable=1 tsc_flags_known=1 ns_per_tick=0.355454
# timer_overhead_ns=7.46
# profile=hardened metadata_bytes=24
# counters=on
# lock=arena
# ops_per_thread=200000 arena=growable
workload,allocator,lock,threads,rep,ops,ns_total,ops_per_sec,ops_per_sec_per_thread,mean_ns,p50_ns,p99_ns,p999_ns,max_ns,timer_overhead_ns,alloc_failures,peak_payload_bytes,peak_block_bytes,peak_blocks,seed
mt_churn,system,arena,2,5,400000,13415657,29815908.4,14907954.2,21.3,10.0,168.8,447.5,119404.5,7.46,0,0,0,0,20265809
mt_churn,system,arena,2,6,400000,13037053,30681780.6,15340890.3,21.7,10.7,166.7,416.2,270414.2,7.46,0,0,0,0,20266809
mt_churn,system,arena,2,7,400000,13287468,30103553.2,15051776.6,22.4,10.3,168.1,817.2,58634.6,7.46,0,0,0,0,20267809
mt_churn,system,arena,2,8,400000,13328835,30010124.7,15005062.3,25.2,15.3,190.2,657.9,85480.7,7.46,0,0,0,0,20268809
mt_churn,system,arena,2,9,400000,12452397,32122329.5,16061164.8,28.1,19.2,203.0,561.3,119513.3,7.46,0,0,0,0,20269809
mt_churn,system,arena,2,10,400000,12522122,31943467.7,15971733.9,19.5,10.0,156.8,413.4,72065.8,7.46,0,0,0,0,20270809
mt_churn,system,arena,2,11,400000,12644118,31635263.1,15817631.6,19.2,10.0,156.8,382.1,36913.6,7.46,0,0,0,0,20271809
mt_churn,system,arena,4,1,800000,16679680,47962550.8,11990637.7,32.0,19.9,198.7,586.9,455545.3,7.46,0,0,0,0,20261809
mt_churn,system,arena,4,2,800000,14338680,55793141.3,13948285.3,25.2,14.9,174.5,456.0,42515.2,7.46,0,0,0,0,20262809
mt_churn,system,arena,4,3,800000,14487960,55218264.0,13804566.0,26.3,13.5,171.7,515.8,175337.7,7.46,0,0,0,0,20263809
