# cpu=11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
# kernel=Linux 6.6.87.2-microsoft-standard-WSL2
# compiler=gcc 11.4.0
# date=2026-08-25T07:41:25Z
# git_sha=5ae7712
# tsc_usable=1 tsc_flags_known=1 ns_per_tick=0.356550
# timer_overhead_ns=8.20
# profile=hardened metadata_bytes=24
# counters=on
# ops_per_thread=200000 arena=growable
workload,allocator,lock,threads,rep,ops,ns_total,ops_per_sec,ops_per_sec_per_thread,mean_ns,p50_ns,p99_ns,p999_ns,max_ns,timer_overhead_ns,alloc_failures,peak_payload_bytes,peak_block_bytes,peak_blocks,seed
mt_churn,system,global,2,8,400000,15364698,26033704.0,13016852.0,28.9,15.7,211.4,693.5,58567.2,8.20,0,0,0,0,20268809
mt_churn,system,global,2,9,400000,14539785,27510723.2,13755361.6,21.7,11.1,172.2,516.6,54624.9,8.20,0,0,0,0,20269809
mt_churn,system,global,2,10,400000,14282095,28007095.6,14003547.8,34.2,25.3,231.4,588.0,59702.5,8.20,0,0,0,0,20270809
mt_churn,system,global,2,11,400000,15621350,25605981.6,12802990.8,28.2,16.0,211.4,548.0,126141.6,8.20,0,0,0,0,20271809
mt_churn,system,global,4,1,800000,20759673,38536252.5,9634063.1,44.6,30.0,282.7,796.2,231222.6,8.20,0,0,0,0,20261809
mt_churn,system,global,4,2,800000,21318532,37526036.0,9381509.0,41.0,29.2,265.6,670.7,99825.4,8.20,0,0,0,0,20262809
mt_churn,system,global,4,3,800000,21312491,37536672.7,9384168.2,39.2,25.0,257.1,693.5,119528.7,8.20,0,0,0,0,20263809
mt_churn,system,global,4,4,800000,20650939,38739158.5,9684789.6,43.9,31.4,258.5,716.3,515839.5,8.20,0,0,0,0,20264809
mt_churn,system,global,4,5,800000,20296300,39416051.2,9854012.8,39.6,23.5,244.2,819.0,99518.8,8.20,0,0,0,0,20265809
mt_churn,system,global,4,6,800000,18909610,42306530.9,10576632.7,41.0,31.0,251.4,616.5,211082.1,8.20,0,0,0,0,20266809
mt_churn,system,global,4,7,800000,20432773,39152786.6,9788196.6,39.6,28.9,244.2,616.5,102325.2,8.20,0,0,0,0,20267809
mt_churn,system,global,4,8,800000,21459955,37278736.1,9319684.0,41.7,27.1,258.5,773.4,120172.3,8.20,0,0,0,0,20268809
mt_churn,system,global,4,9,800000,18230836,43881695.8,10970424.0,30.7,15.0,211.4,605.1,179049.7,8.20,0,0,0,0,20269809
mt_churn,system,global,4,10,800000,19107534,41868301.8,10467075.4,34.2,21.4,221.4,602.2,79099.2,8.20,0,0,0,0,20270809
mt_churn,system,global,4,11,800000,19144429,41787613.5,10446903.4,37.1,27.8,232.8,619.3,65810.5,8.20,0,0,0,0,20271809
mt_churn,system,global,8,1,1600000,24078358,66449713.9,8306214.2,47.8,28.2,259.9,704.9,2260378.2,8.20,0,0,0,0,20261809
mt_churn,system,global,8,2,1600000,29309651,54589527.5,6823690.9,48.1,26.0,262.8,690.6,4073604.1,8.20,0,0,0,0,20262809
mt_churn,system,global,8,3,1600000,29716025,53843002.2,6730375.3,63.8,25.3,268.5,853.2,9597887.9,8.20,0,0,0,0,20263809
mt_churn,system,global,8,4,1600000,28085386,56969129.8,7121141.2,53.5,25.0,267.1,1001.5,5661820.7,8.20,0,0,0,0,20264809
